date,commune,lat,lon,precipitation,temperature_mean,humidity_mean,pressure_mean,temperature,humidity,pressure,soil_moisture,elevation,slope,distance_to_river,in_flood_plain,depression_depth,drainage_density,drainage_state,drainage_coverage,blocked_drainage_pct,impermeable_surface,building_density,population_density,groundwater_level,runoff_coefficient,infiltration_rate,soil_permeability,vegetation_cover,ndvi_avg,informal_settlement_pct,poverty_index,flood_preparedness,antecedent_precip_3d,antecedent_precip_7d,antecedent_precip_14d,soil_saturation_index,flood_occurred,flood_severity
2022-01-01,Commune I,12.6563,-7.9928,0.0,27.9,25.0,1011.6,27.9,25.0,1011.6,0.27483570765056164,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-02,Commune I,12.6563,-7.9928,0.0,27.0,25.0,1011.5,27.0,25.0,1011.5,0.24308678494144076,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-03,Commune I,12.6563,-7.9928,0.0,25.5,39.0,1011.5,25.5,39.0,1011.5,0.2823844269050346,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-04,Commune I,12.6563,-7.9928,0.0,23.8,42.0,1011.5,23.8,42.0,1011.5,0.3261514928204013,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-05,Commune I,12.6563,-7.9928,0.0,24.7,39.0,1011.6,24.7,39.0,1011.6,0.2382923312638332,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-06,Commune I,12.6563,-7.9928,0.0,22.6,48.0,1011.6,22.6,48.0,1011.6,0.23829315215254096,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-07,Commune I,12.6563,-7.9928,0.0,22.8,46.0,1011.4,22.8,46.0,1011.4,0.3289606407753696,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-08,Commune I,12.6563,-7.9928,0.0,25.6,34.0,1011.3,25.6,34.0,1011.3,0.28837173645764547,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-09,Commune I,12.6563,-7.9928,0.0,24.4,39.0,1012.3,24.4,39.0,1012.3,0.2265262807032524,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-10,Commune I,12.6563,-7.9928,0.0,24.0,35.0,1011.4,24.0,35.0,1011.4,0.2771280021792982,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-11,Commune I,12.6563,-7.9928,0.0,23.2,38.0,1010.8,23.2,38.0,1010.8,0.2268291153593769,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
